,apen_x,fmean_x,fmed_x,intrange_x,mav_x,mavfd_x,mavsd_x,peak_x,rms_x,sampen_x,srange_x,std_x,var_x,zc_x,Emotion,apen_y,fmean_y,fmed_y,intrange_y,mav_y,mavfd_y,mavsd_y,peak_y,rms_y,sampen_y,srange_y,std_y,var_y,zc_y
0,0.7037158582338194,0.2973152863277518,0.30078125,0.5301138776641113,0.2397787945555267,0.38978380632090337,0.6288707177559286,0.45774526677244265,0.26949206028951644,0.7478184489642627,0.9370194939694285,0.2694920532310846,0.07262596675470573,300,2,0.5616051109818105,0.29819390257373124,0.30078125,0.16448920810001355,0.0757353198951967,0.1228027009046034,0.19849224538759538,0.1382488112239535,0.08472519355313454,0.5896286252681805,0.28956282213702034,0.08472171585576634,0.00717776913754521,300
1,0.6758949103240521,0.2864695836961552,0.30078125,0.5210558336143607,0.24064418023569692,0.38786353043809285,0.6287811602587294,0.4868054010972899,0.2695539043278719,0.7227933467049645,0.9784775656257947,0.2695506146064984,0.07265753383474101,300,2,0.8691545565537409,0.11449495989585465,0.01953125,0.16197977821077802,0.08669824229866431,0.12091332785485506,0.19546722859642437,0.30809708210908004,0.10415427507285896,1.0457346722233363,0.5874375292461551,0.10415421371637656,0.010848100234876644,254
2,0.8314189935713951,0.2987093849615759,0.30078125,0.502573129763905,0.2384522609581763,0.38159662631900293,0.61654359064738,0.52761280214374,0.2682202499011774,0.8250914935440505,1.0589535829085739,0.2679952009791618,0.07182142774786134,300,2,0.7379473237162619,0.2981085902170642,0.30078125,0.19282957102671922,0.13502353486685667,0.12558734072023825,0.2031551431864846,0.6954754011557039,0.18699127418632844,0.5370252390060043,1.2509992470304558,0.1868559133557254,0.03491513235600236,222
3,0.7416673443599873,0.27808852367044623,0.30078125,0.4832934914023749,0.2387127924985233,0.38099888913018076,0.6168760052154703,0.5444744904401936,0.27006520900879766,0.8884698491188737,1.0580037948760745,0.2698327991884715,0.07280973951788597,300,2,0.6824946833619223,0.08890255346550854,0.0078125,0.18382509652042672,0.10603429633101641,0.12177889558159836,0.19785849808799763,0.382164880204411,0.13558851398183328,0.7599542588269166,0.8286873796000767,0.13543689691680735,0.018343153046453904,232
4,0.6019131209500221,0.2938537571220052,0.30078125,0.5202988774297065,0.23764485740806554,0.3832550830994925,0.6197692428230589,0.49160629270348,0.2654458334947079,0.6303948091218903,0.9562865852920177,0.2654457951642835,0.07046147017039876,300,2,0.7635053535463574,0.1253323403782588,0.03515625,0.191766446720077,0.12131587996757404,0.12257403151319214,0.1970793517058378,0.5358197320330026,0.16196822544514794,0.7181633749090124,1.1222027276183,0.16189585912449392,0.026210269201657983,212
5,0.7835669169778119,0.29598116505906225,0.30078125,0.4993684172680054,0.239749017223439,0.3865412823866186,0.623766301905775,0.5585843369140688,0.2731167811896269,0.8569551823361607,1.204697793845177,0.2730587605703784,0.07456108672423126,300,2,0.9791043254158693,0.18109747690825848,0.296875,0.26409758376764886,0.20405364078008018,0.12108644993671544,0.19559159402524426,0.7821032277537223,0.2868497841750262,0.9901569678608854,1.7821922378272386,0.28591855744226435,0.08174942148986541,148
6,0.7777345671404392,0.2638158516847361,0.30078125,0.5066570630721894,0.2575985469448622,0.38307048860562765,0.6193803241105649,0.8977467213114242,0.30255655028237793,0.9053680564782505,1.7430799751331825,0.3025018451968111,0.09150736634747549,278,2,1.2865411542718963,0.10572050965796072,0.01171875,0.19440745357530376,0.11348173251060714,0.11894944624314435,0.1943879197447649,0.38229895648740025,0.14092641801438785,1.739115735742633,0.7774991471948918,0.1396690471934633,0.01950744274392988,178
0,1.0663339339560514,0.23682847889859263,0.30078125,0.5315685403124641,0.2647181547856688,0.4104974782747033,0.6661846857075863,0.7669694838072647,0.30582200548143457,1.284976588479023,1.6668509790931956,0.3058206738041683,0.09352628452603548,288,1,0.9276596267986159,0.22121431682741588,0.30078125,0.15616590677288483,0.07998693464257797,0.12162002217345691,0.1963473800978671,0.25068714989859403,0.09342342516491638,1.1054179295679891,0.5088205035988601,0.0934223893405778,0.008727742830102504,282
1,0.7110971086991671,0.29576938457314933,0.30078125,0.5377631337557023,0.2506107242024997,0.4040606583294724,0.6530792676670778,0.4862939659283652,0.2804856095495486,0.706570200892086,1.037955852408911,0.2804828023036329,0.07867060238809882,300,1,0.5177547573958203,0.2968831287556449,0.30078125,0.15885928277285866,0.07464529024173373,0.12070374622144361,0.19586045989610304,0.1463110465355057,0.08347383028294532,0.5348880315189393,0.2824939442643316,0.08347361454632672,0.006967844325428729,300
2,0.657180922688724,0.17623923269378117,0.30078125,0.5361111584107284,0.26097034636041144,0.3999881207656619,0.6470629212560637,0.7666543006344428,0.3018077018274856,0.714176186291787,1.5397211037418495,0.3017903894677559,0.09107743917509979,286,1,0.6482858392341675,0.13883684996873527,0.02734375,0.167732262107609,0.08326624389901566,0.12275340969597053,0.19810829146380174,0.28728654284905825,0.09762127207121389,0.7103522723662379,0.5730319321545883,0.09761819398925328,0.009529311797723487,280
